gameDate,game,competition,bet,market,betValue,betTime,betAmount,odds,isMarketMaker,wallet
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,0.0,2026-06-24 01:11:30 UTC,0.0,1.1575,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,2.0,2026-06-24 01:10:58 UTC,2.0,1.1575,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not tie,1X2,45.0,2026-06-24 01:07:14 UTC,45.0,1.715,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not tie,1X2,42.0,2026-06-24 01:07:11 UTC,42.0,1.715,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not tie,1X2,47.0,2026-06-24 01:07:08 UTC,47.0,1.715,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Croatia,1X2,1.0,2026-06-24 01:04:23 UTC,1.0,1.55,Yes,0x42B4CF407654a8469d1Cf3606712C1f30599B2C5
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Croatia,1X2,27.0,2026-06-24 01:03:56 UTC,27.0,1.55,Yes,0x740d5718a79A8559fEeE8B00922F8Cd773A81D84
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Under 4.0,Under/Over (4),262.0,2026-06-24 00:54:55 UTC,262.0,1.885,Yes,0xe2C68b7ef85645e47F9b94382c3Db59b046945a2
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Under 3.5,Under/Over (3.5),51.0,2026-06-24 00:54:53 UTC,51.0,1.7688,Yes,0xe2C68b7ef85645e47F9b94382c3Db59b046945a2
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Under 3.0,Under/Over (3),57.0,2026-06-24 00:54:52 UTC,57.0,1.71,Yes,0xe2C68b7ef85645e47F9b94382c3Db59b046945a2
2026-06-27 03:00:00 UTC,Egypt vs Iran,FIFA World Cup ,Not tie,1X2,273.0,2026-06-24 00:40:07 UTC,273.0,1.635,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 23:30:00 UTC,Congo DR vs Uzbekistan,FIFA World Cup ,Not Congo DR,1X2,357.0,2026-06-24 00:38:12 UTC,357.0,1.4763,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 23:30:00 UTC,Congo DR vs Uzbekistan,FIFA World Cup ,Not Uzbekistan,1X2,75.0,2026-06-24 00:36:45 UTC,75.0,1.7575,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
